Row,Seq Num,Obs ID,Instrument,Grating,Appr Exp,Exposure,Target,PI Name,RA,Dec,Status,Data Mode,Exp Mode,Avg Cnt Rate,Evt Cnt,Start Date,Public Release Date,Proposal,Type,Obs Cycle,Prop Cycle,Science Category,Joint
1,401823,18955,ACIS-S,NONE,25,24.64,GrW 170817,Fong,13 09 48.09,-23 22 53.35,archived,VFAINT,TE,11.22,276459,8/19/2017 17:09,8/21/2018 16:01,18400052,TOO,18,18,BH AND NS BINARIES,None
3,502942,19294,ACIS-S,NONE,50,49.41,GRB170817A,Troja,13 09 48.09,-23 22 53.35,archived,VFAINT,TE,6.52,322099,8/26/2017 10:32,11/28/2017 5:31,18500489,TOO,18,18,"SN, SNR AND ISOLATED NS",HST
5,503034,20728,ACIS-S,NONE,50,46.69,GRB170817A,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,5.88,274716,9/1/2017 15:21,12/2/2017 12:11,18508587,DDT,18,18,"SN, SNR AND ISOLATED NS",None
6,401856,18988,ACIS-S,NONE,50,46.69,GRB170817A,Haggard,13 09 48.27,-23 23 04.30,archived,VFAINT,TE,10.51,490569,9/2/2017 4:52,9/2/2018 20:01,18400410,TOO,18,18,BH AND NS BINARIES,None
7,402012,20860,ACIS-S,NONE,75,74.09,GW170817,Wilkes,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,5.92,438489,12/3/2017 1:38,12/7/2017 11:31,18408601,DDT,18,18,BH AND NS BINARIES,None
8,402012,20861,ACIS-S,NONE,25,24.74,GW170817,Wilkes,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,5.87,145189,12/6/2017 10:43,12/7/2017 11:31,18408601,DDT,18,18,BH AND NS BINARIES,None
9,402020,20936,ACIS-S,NONE,32.2,31.75,GW170817,Wilkes,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,6.2,196870,1/17/2018 21:27,1/29/2018 12:11,19408607,DDT,19,19,BH AND NS BINARIES,None
10,402020,20938,ACIS-S,NONE,16,15.86,GW170817,Wilkes,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,6.08,96419,1/21/2018 13:28,1/29/2018 12:11,19408607,DDT,19,19,BH AND NS BINARIES,None
11,402020,20937,ACIS-S,NONE,19.1,20.77,GW170817,Wilkes,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,6.06,125870,1/23/2018 7:46,1/29/2018 17:21,19408607,DDT,19,19,BH AND NS BINARIES,None
12,402020,20939,ACIS-S,NONE,19.7,22.25,GW170817,Wilkes,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,6.11,135933,1/24/2018 8:01,1/29/2018 12:11,19408607,DDT,19,19,BH AND NS BINARIES,None
13,402020,20945,ACIS-S,NONE,13,14.22,GW170817,Wilkes,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,5.92,84228,1/28/2018 4:13,1/30/2018 5:31,19408607,DDT,19,19,BH AND NS BINARIES,None
14,402025,21080,ACIS-S,NONE,53,50.78,GW170817,Wilkes,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,6.18,313791,5/3/2018 10:23,5/7/2018 20:36,19408644,DDT,19,19,BH AND NS BINARIES,None
15,402025,21090,ACIS-S,NONE,47,46,GW170817,Wilkes,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,5.41,248870,5/5/2018 1:01,5/7/2018 20:36,19408644,DDT,19,19,BH AND NS BINARIES,None
16,503136,21371,ACIS-S,NONE,75,67.16,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,7.16,480923,8/10/2018 18:00,8/12/2018 13:04,20500691,GO,20,20,"SN, SNR AND ISOLATED NS",None
17,503094,21322,ACIS-S,NONE,36,35.64,GW170817,MARGUTTI,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,10.59,377421,3/21/2019 7:29,3/22/2019 8:14,20500299,GO,20,20,"SN, SNR AND ISOLATED NS",HST+NRAO
18,503094,22157,ACIS-S,NONE,39,38.19,GW170817,MARGUTTI,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,10.66,406915,3/22/2019 6:02,3/23/2019 14:14,20500299,GO,20,20,"SN, SNR AND ISOLATED NS",HST+NRAO
19,503094,22158,ACIS-S,NONE,25,24.93,GW170817,MARGUTTI,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,11.75,292883,3/23/2019 23:33,3/24/2019 20:03,20500299,GO,20,20,"SN, SNR AND ISOLATED NS",HST+NRAO
20,503137,21372,ACIS-S,NONE,40,40,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,7.35,293883,8/27/2019 14:16,8/28/2019 15:05,20500691,GO,20,20,"SN, SNR AND ISOLATED NS",None
21,503137,22736,ACIS-S,NONE,34,33.61,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,7.51,252395,8/29/2019 13:46,8/30/2019 4:55,20500691,GO,20,20,"SN, SNR AND ISOLATED NS",None
22,503137,22737,ACIS-S,NONE,26,25.25,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,7.24,182898,8/30/2019 11:45,9/3/2019 9:24,20500691,GO,20,20,"SN, SNR AND ISOLATED NS",None
23,503095,21323,ACIS-S,NONE,25,24.29,GW170817,MARGUTTI,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,10.7,259834,3/9/2020 22:04,3/10/2020 14:31,20500299,GO,20,20,"SN, SNR AND ISOLATED NS",HST+NRAO
24,503095,23183,ACIS-S,NONE,17.5,16.28,GW170817,MARGUTTI,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,10.76,175143,3/13/2020 12:56,3/13/2020 18:11,20500299,GO,20,20,"SN, SNR AND ISOLATED NS",HST+NRAO
25,503095,23184,ACIS-S,NONE,20,19.85,GW170817,MARGUTTI,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,10.92,216747,3/15/2020 1:21,3/15/2020 10:11,20500299,GO,20,20,"SN, SNR AND ISOLATED NS",HST+NRAO
26,503095,23185,ACIS-S,NONE,37.5,36.18,GW170817,MARGUTTI,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,11.06,400159,3/15/2020 22:12,3/18/2020 13:01,20500299,GO,20,20,"SN, SNR AND ISOLATED NS",HST+NRAO
27,503192,22677,ACIS-S,NONE,33,29.69,GW170817,MARGUTTI,13 09 48.09,-23 22 53.34,archived,VFAINT,TE,4.19,124525,12/9/2020 0:05,12/9/2020 15:59,21510449,GO,21,21,GRAVITATIONAL WAVE EVENT,NRAO
28,503192,24887,ACIS-S,NONE,29.4,26.72,GW170817,MARGUTTI,13 09 48.09,-23 22 53.34,archived,VFAINT,TE,3.97,106100,12/11/2020 15:33,12/16/2020 5:51,21510449,GO,21,21,GRAVITATIONAL WAVE EVENT,NRAO
29,503192,24888,ACIS-S,NONE,19.3,17.85,GW170817,MARGUTTI,13 09 48.09,-23 22 53.34,archived,VFAINT,TE,3.98,71118,12/12/2020 12:56,12/14/2020 6:20,21510449,GO,21,21,GRAVITATIONAL WAVE EVENT,NRAO
30,503192,24889,ACIS-S,NONE,18.3,16.86,GW170817,MARGUTTI,13 09 48.09,-23 22 53.34,archived,VFAINT,TE,4.02,67850,12/13/2020 9:21,12/14/2020 6:49,21510449,GO,21,21,GRAVITATIONAL WAVE EVENT,NRAO
31,503277,23870,ACIS-S,NONE,40,38.56,GW170817,MARGUTTI,13 09 48.09,-23 22 53.34,archived,VFAINT,TE,4.1,158151,1/18/2021 9:43,1/25/2021 11:21,22510329,GO,22,22,GRAVITATIONAL WAVE EVENT,NRAO
32,503277,24923,ACIS-S,NONE,30,29.69,GW170817,MARGUTTI,13 09 48.09,-23 22 53.34,archived,VFAINT,TE,4.12,122198,1/26/2021 9:24,1/27/2021 14:22,22510329,GO,22,22,GRAVITATIONAL WAVE EVENT,NRAO
33,503277,24924,ACIS-S,NONE,30,29.69,GW170817,MARGUTTI,13 09 48.09,-23 22 53.34,archived,VFAINT,TE,4.13,122641,1/27/2021 0:34,1/27/2021 14:22,22510329,GO,22,22,GRAVITATIONAL WAVE EVENT,NRAO
34,503276,23869,ACIS-S,NONE,29,28.52,GW170817,MARGUTTI,13 09 48.09,-23 22 53.34,archived,VFAINT,TE,4.01,114334,12/7/2021 9:45,12/8/2021 6:10,22510329,GO,22,22,GRAVITATIONAL WAVE EVENT,NRAO
35,503276,26223,ACIS-S,NONE,24,23.76,GW170817,MARGUTTI,13 09 48.09,-23 22 53.34,archived,VFAINT,TE,4.06,96368,12/8/2021 22:11,12/10/2021 5:50,22510329,GO,22,22,GRAVITATIONAL WAVE EVENT,NRAO
36,503276,24336,ACIS-S,NONE,27,25.61,GW170817,MARGUTTI,13 09 48.09,-23 22 53.34,archived,VFAINT,TE,4.18,107103,12/10/2021 12:07,12/14/2021 5:51,22510329,GO,22,22,GRAVITATIONAL WAVE EVENT,NRAO
37,503276,24337,ACIS-S,NONE,20,19.82,GW170817,MARGUTTI,13 09 48.09,-23 22 53.34,archived,VFAINT,TE,4.1,81303,12/12/2021 7:11,12/12/2021 18:10,22510329,GO,22,22,GRAVITATIONAL WAVE EVENT,NRAO
38,503359,25733,ACIS-S,NONE,30,28.4,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,4.28,121523,3/14/2022 5:32,3/15/2022 8:28,23510325,GO,23,23,GRAVITATIONAL WAVE EVENT,NRAO
39,503359,25734,ACIS-S,NONE,30,30.96,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,4.6,142303,3/17/2022 21:10,3/18/2022 11:43,23510325,GO,23,23,GRAVITATIONAL WAVE EVENT,NRAO
40,503359,25527,ACIS-S,NONE,40,36.58,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,4.4,161087,5/17/2022 1:02,5/18/2022 6:25,23510325,GO,23,23,GRAVITATIONAL WAVE EVENT,NRAO
41,503360,27088,ACIS-S,NONE,30,27.7,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,3.54,97930,1/18/2023 8:39,1/19/2023 7:01,23510325,GO,24,23,GRAVITATIONAL WAVE EVENT,NRAO
42,503360,27089,ACIS-S,NONE,30,31.65,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,3.6,113858,1/24/2023 4:55,1/25/2023 6:21,23510325,GO,24,23,GRAVITATIONAL WAVE EVENT,NRAO
43,503360,27090,ACIS-S,NONE,30,29.49,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,8.9,262341,2/7/2023 20:06,2/8/2023 9:31,23510325,GO,24,23,GRAVITATIONAL WAVE EVENT,NRAO
44,503360,27731,ACIS-S,NONE,15,14.87,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,7.88,117193,3/1/2023 8:55,3/3/2023 10:51,23510325,GO,24,23,GRAVITATIONAL WAVE EVENT,NRAO
45,503360,27091,ACIS-S,NONE,30,29.54,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,3.41,100611,3/4/2023 7:34,3/4/2023 19:01,23510325,GO,24,23,GRAVITATIONAL WAVE EVENT,NRAO
46,503360,25528,ACIS-S,NONE,12,12.42,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,3.21,39802,3/22/2023 4:44,3/22/2023 11:51,23510325,GO,24,23,GRAVITATIONAL WAVE EVENT,NRAO
47,503360,27752,ACIS-S,NONE,12,12.4,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,7.8,96689,3/22/2023 12:09,3/23/2023 16:11,23510325,GO,24,23,GRAVITATIONAL WAVE EVENT,NRAO
48,503360,27753,ACIS-S,NONE,13,12.41,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,3.2,39774,3/22/2023 19:34,3/23/2023 7:31,23510325,GO,24,23,GRAVITATIONAL WAVE EVENT,NRAO
49,503360,27754,ACIS-S,NONE,13,12.41,GW170817,Troja,13 09 48.10,-23 22 53.30,archived,VFAINT,TE,3.16,39239,3/23/2023 2:58,3/23/2023 14:51,23510325,GO,24,23,GRAVITATIONAL WAVE EVENT,NRAO
